team_id,grabberPeerName
1001,001
1002,002
1003,003
1004,004
1005,005
1006,006
1007,007
1008,008
1009,009
1010,010
1011,011
1012,012
1013,013
1014,014
1015,015
1016,016
1017,017
1018,018
1019,019
1020,020
1021,021
1022,022
1023,023
1024,024
1025,025
1026,026
1027,027
1028,028
1029,029
1030,030
1031,031
1032,032
1033,033
1034,034
1035,035
1036,036
1037,037
1038,038
1039,039
1040,040
1041,041
1042,042
1043,043
1044,044
1045,045
1046,046
1047,047
1048,048
1049,049
1050,050
1051,051
1052,052
1053,053
1054,054
1055,055
1056,056
1057,057
1058,058
1059,059
1060,060
1061,061
1062,062
1063,063
1064,064
1065,065
1066,066
1067,067
1068,068
1069,069
1070,070
1071,071
1072,072
1073,073
1074,074
1075,075
1076,076
1077,077
1078,078
1079,079
1080,080
1081,081
1082,082
1083,083
1084,084
1085,085
1086,086
1087,087
1088,088
1089,089
1090,090
1091,091
1092,092
1093,093
1094,094
1095,095
1096,096
1097,097
1098,098
1099,099
1100,100
1101,101
1102,102
1103,103
1104,104
1105,105
1106,106
1107,107
1108,108
1109,109
1110,110
1112,112
1113,113
1114,114
1115,115
1116,116
1117,117
1118,118
1119,119
1120,120
1121,121
1122,122
1123,123
1124,124
1125,125
1126,127
1127,111
1128,128
1129,126
